animal,sire,dam,generation,sex
6070,0,0,0,0
6071,0,0,0,0
6086,0,0,0,0
6088,0,0,0,0
6092,0,0,0,0
6323,0,0,0,1
6324,0,0,0,1
6327,0,0,0,1
6328,0,0,0,1
6440,0,0,0,0
6447,0,0,0,0
6448,0,0,0,0
6449,0,0,0,0
6450,0,0,0,0
6456,0,0,0,0
6458,0,0,0,0
6476,0,0,0,0
6695,0,0,0,0
6696,0,0,0,0
6701,0,0,0,0
474,0,0,1,0
160,6323,6458,1,0
301,6324,6450,1,0
303,6327,6456,1,0
311,6324,6070,1,1
312,6328,6448,1,0
313,6324,6450,1,0
314,6327,6456,1,0
315,6324,6695,1,0
316,6324,6450,1,0
317,6324,6450,1,0
318,6324,6070,1,0
319,6324,6695,1,0
320,6324,6070,1,0
321,6324,6070,1,0
322,6324,6695,1,0
323,6324,6695,1,0
324,6328,6448,1,0
325,6324,6695,1,0
326,6323,6086,1,1
328,6327,6449,1,1
330,6323,6458,1,1
331,6327,6449,1,1
335,6323,6071,1,1
456,6327,6449,1,0
458,6328,6476,1,0
459,6323,6071,1,0
460,6324,6696,1,0
461,6328,6476,1,0
463,6328,6476,1,0
464,6328,6092,1,0
465,6324,6696,1,0
466,6328,6092,1,0
467,6323,6086,1,0
468,6328,6447,1,0
470,6324,6696,1,0
471,6324,6696,1,0
472,6328,6447,1,0
473,6328,6447,1,0
475,6324,6696,1,0
476,6327,6088,1,0
477,6328,6476,1,0
478,6324,6696,1,0
479,6328,6447,1,0
480,6327,6088,1,0
481,6328,6092,1,0
482,6323,6440,1,0
483,6328,6476,1,0
484,6323,6440,1,0
485,6328,6092,1,0
489,6327,6088,1,0
490,6323,6440,1,0
491,6323,6086,1,0
493,6323,6458,1,0
494,6328,6476,1,0
495,6323,6440,1,0
497,6323,6458,1,0
1001,328,459,2,1
1002,328,459,2,0
1003,328,459,2,1
1004,328,459,2,0
1006,326,467,2,0
1007,328,459,2,1
1011,328,459,2,1
1012,326,467,2,0
1013,328,459,2,1
1015,326,467,2,1
1018,328,491,2,0
1019,326,467,2,1
1020,328,491,2,0
1021,328,491,2,1
1022,328,491,2,0
1023,328,491,2,1
1024,331,495,2,0
1025,331,495,2,1
1026,331,495,2,0
1027,331,495,2,1
1028,331,495,2,0
1029,331,495,2,1
1030,326,323,2,0
1032,326,323,2,0
1033,331,495,2,1
1034,326,323,2,0
1035,331,495,2,1
1036,326,323,2,0
1037,331,495,2,1
1038,335,314,2,0
1039,331,495,2,1
1040,335,314,2,0
1041,326,323,2,1
1042,335,314,2,0
1043,326,323,2,1
1044,328,313,2,0
1045,326,323,2,1
1046,331,481,2,0
