"ID"	"Par1"	"Par2"	"gener"	"sex"
"1"	"6070"	"0"	"0"	0	0
"2"	"6071"	"0"	"0"	0	0
"3"	"6086"	"0"	"0"	0	0
"4"	"6088"	"0"	"0"	0	0
"5"	"6092"	"0"	"0"	0	0
"6"	"6323"	"0"	"0"	0	1
"7"	"6324"	"0"	"0"	0	1
"8"	"6327"	"0"	"0"	0	1
"9"	"6328"	"0"	"0"	0	1
"10"	"6440"	"0"	"0"	0	0
"11"	"6447"	"0"	"0"	0	0
"12"	"6448"	"0"	"0"	0	0
"13"	"6449"	"0"	"0"	0	0
"14"	"6450"	"0"	"0"	0	0
"15"	"6456"	"0"	"0"	0	0
"16"	"6458"	"0"	"0"	0	0
"17"	"6476"	"0"	"0"	0	0
"18"	"6695"	"0"	"0"	0	0
"19"	"6696"	"0"	"0"	0	0
"1033"	"6701"	"0"	"0"	0	0
"1037"	"474"	"0"	"0"	1	0
"20"	"160"	"6323"	"6458"	1	0
"21"	"301"	"6324"	"6450"	1	0
"22"	"303"	"6327"	"6456"	1	0
"23"	"311"	"6324"	"6070"	1	1
"24"	"312"	"6328"	"6448"	1	0
"25"	"313"	"6324"	"6450"	1	0
"26"	"314"	"6327"	"6456"	1	0
"27"	"315"	"6324"	"6695"	1	0
"28"	"316"	"6324"	"6450"	1	0
"29"	"317"	"6324"	"6450"	1	0
"30"	"318"	"6324"	"6070"	1	0
"31"	"319"	"6324"	"6695"	1	0
"32"	"320"	"6324"	"6070"	1	0
"33"	"321"	"6324"	"6070"	1	0
"34"	"322"	"6324"	"6695"	1	0
"35"	"323"	"6324"	"6695"	1	0
"36"	"324"	"6328"	"6448"	1	0
"37"	"325"	"6324"	"6695"	1	0
"38"	"326"	"6323"	"6086"	1	1
"39"	"328"	"6327"	"6449"	1	1
"40"	"330"	"6323"	"6458"	1	1
"41"	"331"	"6327"	"6449"	1	1
"42"	"335"	"6323"	"6071"	1	1
"43"	"456"	"6327"	"6449"	1	0
"44"	"458"	"6328"	"6476"	1	0
"45"	"459"	"6323"	"6071"	1	0
"46"	"460"	"6324"	"6696"	1	0
"47"	"461"	"6328"	"6476"	1	0
"48"	"463"	"6328"	"6476"	1	0
"49"	"464"	"6328"	"6092"	1	0
"50"	"465"	"6324"	"6696"	1	0
"51"	"466"	"6328"	"6092"	1	0
"52"	"467"	"6323"	"6086"	1	0
